Name                    ;stat 1       ;amount 1 ;stat 2       ;amount 2 ;mutual exclusive ;description
Cap Collector           ;Charisma     ;       5 ;             ;         ;                 ;When you buy or sell items, you may increase or decrease the price of the goods being traded by 10%.
Cautious Nature         ;Perception   ;       7 ;             ;         ;Daring Nature    ;Whenever you attempt a skill test, and you buy one or more d20s by spending Action Points, you may re-roll 1d20 on that test. You may not purchase this perk if you have Daring Nature.
Center Mass             ;Agility      ;       7 ;             ;         ;                 ;When you make a ranged attack, you may choose to strike your target’s Torso location (or equivalent, for creatures that use a different location table) without increasing the difficulty of the attack. In addition, you may re-roll 1d20 when making the test for your attack.
Chem Resistant          ;Endurance    ;       7 ;             ;         ;                 ;At rank 1, roll one fewer Damage die when determining if you become addicted to chems, to a minimum of 0. At rank 2, you cannot become addicted to chems.
Chemist                 ;Intelligence ;       7 ;             ;         ;                 ;Chems you create last twice as long as normal. In addition, you unlock chems recipes that have this perk as a requirement.
Comprehension           ;Intelligence ;       6 ;             ;         ;                 ;After you use the bonus gained from reading a magazine, roll 1 DC. If you roll an Effect, you may use that bonus one additional time.
Concentrated Fire       ;Perception   ;       8 ;Intelligence ;       6 ;                 ;When you make a ranged attack and spend ammunition to increase the damage, you may re-roll up to 3 DC for your damage roll.
Daring Nature           ;Luck         ;       7 ;             ;         ;Cautious Nature  ;Whenever you attempt a skill test, and you buy one or more d20s by giving the gamemaster Action Points, you may re-roll 1d20 on that test. You may not purchase this perk if you have Cautious Nature.
Demolition Expert       ;Perception   ;       6 ;Agility      ;       6 ;                 ;When you make an attack using a weapon with the Blast quality, the attack gains the Vicious damage effect. In addition, you unlock explosives recipes which have this perk as a requirement.
Dogmeat                 ;Charisma     ;       5 ;             ;         ;                 ;You aren’t alone in the wilderness. You have a pet dog that serves as a friend and ally in dangerous times. The dog has the Dogmeat profile and is treated as an allied NPC creature under your command. If you need to forage for food and water, your dog looks after themselves. If your dog is slain, then you either find a new dog before the next adventure, or you may trade this perk for a different one after this adventure.
Entomologist            ;Intelligence ;       7 ;             ;         ;                 ;When you make an attack against an NPC with the Insect keyword, your attack gains the Piercing 1 damage effect, or improves the rating of any Piercing X effect the weapon has by +1.
Fast Metabolism         ;Endurance    ;       6 ;             ;         ;Not a Robot      ;When you regain one or more HP from any source other than rest, increase the total HP regained by +1 per rank in this perk.
Faster Healing          ;Endurance    ;       6 ;             ;         ;                 ;When you make an END + Survival test to heal your own injuries, the first additional d20 you buy is free. The normal maximum of 5d20 still applies.
Finesse                 ;Agility      ;       9 ;             ;         ;                 ;Once per combat encounter, you may re-roll all the DC on a single damage roll without spending any Luck points.
Ghost                   ;Perception   ;       5 ;Agility      ;       6 ;                 ;Whenever you attempt an AGI + Sneak test in shadows or darkness, the first additional d20 you buy is free. The normal maximum of 5d20 still applies.
Grim Reaper's Sprint    ;Luck         ;       8 ;             ;         ;                 ;When you make an attack which kills one or more enemies, roll 1 DC. If you roll an Effect, add 2 AP to the group’s pool.
Gun Fu                  ;Agility      ;      10 ;             ;         ;                 ;When you succeed at a ranged attack, you may spend 1 AP and 1 ammo to hit a second target within Close range of your initial target. The second target takes the same damage as the initial target. At rank 2, you may spend 2 AP and 2 ammo to hit two additional targets. At rank 3, you may spend 3 AP and 3 ammo to hit three additional targets.
Hacker                  ;Intelligence ;       8 ;             ;         ;                 ;The difficulty of skill tests to hack computers is decreased by 1, to a minimum of 0.
Healer                  ;Intelligence ;       7 ;             ;         ;                 ;When you heal a patient’s HP using the First Aid action, increase the amount of HP healed by +1 per rank in this perk.
Heave Ho!               ;Strength     ;       8 ;             ;         ;                 ;When you make a thrown weapon attack, you may spend 1 AP to increase the Range of the weapon by one step—from Close to Medium, or from Medium to Long.
Hunter                  ;Endurance    ;       6 ;             ;         ;                 ;When you make an attack against an NPC with one of the Mammal, Lizard, or Insect keywords and the Mutated keyword, your attack gains the Vicious damage effect, if it did not already have that effect.
Infiltrator             ;Perception   ;       8 ;             ;         ;                 ;When you attempt a Lockpick skill test to unlock a door or container, you may re-roll 1d20.
Inspirational           ;Charisma     ;       8 ;             ;         ;                 ;Because you lead by example, the maximum number of AP the group may save is increased by 1.
Iron Fist               ;Strength     ;       6 ;             ;         ;                 ;At rank 1, your unarmed attacks inflict +1 DC. At rank 2, your unarmed attacks also gain the Vicious damage effect.
Junktown Jerky Vendor   ;Charisma     ;       8 ;             ;         ;                 ;The difficulty of any CHA + Barter test you attempt to buy or sell goods is reduced by 1, to a minimum of 0.
Jury Rigging            ;             ;         ;             ;         ;                 ;You can repair an item without needing to expend any components. However, the repair is temporary, and the item will break again on the next complication you suffer while using it. The complication range of all skill tests to use the item increases by 1, to the roll of a 19–20.
Lead Belly              ;Endurance    ;       6 ;             ;         ;                 ;At rank 1, you may re-roll the DC to determine if you suffer radiation damage from irradiated food or drink. At rank 2, you are immune to radiation damage from consuming irradiated food or drink.
Light Step              ;             ;         ;             ;         ;                 ;When you roll to generate any complications on an Agility-based skill test, you may ignore one complication for every 1 AP spent. In addition, you may re-roll 1d20 on any AGI + Athletics test to avoid traps triggered by pressure plates or similar mechanisms.
Master Thief            ;Perception   ;       8 ;Agility      ;       9 ;                 ;When you are attempting to pick a lock or pickpocket somebody, the difficulty of the opponent’s skill test to detect you increases by +1.
Medic                   ;Intelligence ;       8 ;             ;         ;                 ;When you use the First Aid action to try to treat an injury, you can re-roll 1d20.
Meltdown                ;Perception   ;      10 ;             ;         ;                 ;When you kill an enemy with an energy weapon, they explode. Roll a number of DC equal to half the weapon’s damage rating (round down). For each Effect rolled, one creature within Close range of the exploding enemy (starting with the closest) suffers energy damage equal to the total rolled on the DC.
Mister Sandman          ;Agility      ;       9 ;             ;         ;                 ;When you make a sneak attack with a silenced or suppressed weapon, the damage is increased by +2 DC. You cannot gain this benefit while in Power Armor.
Moving Target           ;Agility      ;       6 ;             ;         ;                 ;When you take the Sprint action, your Defense increases by +1 until the start of your next turn.
Mysterious Stranger     ;Luck         ;       7 ;             ;         ;                 ;From time to time, a Mysterious Stranger comes to your aid, with lethal results. At the start of a combat encounter, you may spend 1 Luck point. If you do so, then at any point during the scene, the GM may have the Mysterious Stranger appear, make a single ranged attack against an enemy you attacked, or who just attacked you, and then vanish. If you spend a Luck point and the Mysterious Stranger does not appear, the GM must refund the Luck point you spent. The stranger has an AGI of 10, a Small Guns skill of 6, and counts Small Guns as a Tag skill. They always roll 3d20 for attacks, rather than 2d20, and their attack—using a custom .44 Magnum revolver—inflicts 8 DC Piercing 1, Vicious physical damage. They always appear within their weapon’s ideal range. Any attempt to find where the Stranger went after their attack fails.
Night Person            ;Perception   ;       7 ;             ;         ;                 ;You reduce any difficulty increases due to darkness by 1.
Ninja                   ;Agility      ;       8 ;             ;         ;                 ;When you make a sneak attack with a melee weapon or unarmed attack, the damage is increased by +2 DC. You cannot gain this benefit while in Power Armor.
Nuclear Physicist       ;Intelligence ;       9 ;             ;         ;                 ;Whenever you use a weapon that inflicts radiation damage, or has the Radioactive damage effect, each Effect you roll inflicts one additional point of radiation damage. In addition, fusion cores you use have 3 additional charges.
Pain Train              ;Strength     ;       9 ;Perception   ;       7 ;                 ;You may Charge as a major action if you are wearing Power Armor or are a super mutant. This is a movement action, and you may not Move or Sprint in the same turn. When you take this action, you move into reach of an enemy within Medium range (1 zone) and make a STR + Athletics test with a difficulty of 2. If you succeed, the enemy suffers damage equal to your normal unarmed damage, and is knocked prone. At rank 2, you add +1 DC and the Stun damage effect to the damage inflicted. At the GM’s discretion, especially large or sturdy creatures cannot be knocked prone by this action.
Paralyzing Palm         ;Strength     ;       8 ;             ;         ;                 ;When you make an unarmed attack, and choose to strike a specific location, your attack gains the Stun damage effect.
Party Boy/Girl          ;Endurance    ;       6 ;Charisma     ;       7 ;                 ;You cannot become addicted to alcoholic drinks, and whenever you drink an alcoholic drink, you heal +2 HP.
Pathfinder              ;Perception   ;       6 ;Endurance    ;       6 ;                 ;When travelling over long distances through the wilderness, a successful PER + Survival test (with a difficulty determined by the GM, based on the terrain) reduces the travel time by half.
Pharma Farma            ;Luck         ;       6 ;             ;         ;                 ;When you are scavenging a location that contains medicine or chems, you find one additional item, randomly determined, without spending AP.
Pickpocket              ;Perception   ;       8 ;Agility      ;       8 ;                 ;At rank 1, you can ignore the first complication you roll when you make an AGI + Sneak test to steal an object from someone else’s person or to plant something on them. At rank 2, you can re-roll 1d20 in your dice pool when attempting to pick someone’s pocket. At rank 3, you reduce the difficulty of attempts to pick someone’s pocket by 1.
Piercing Strike         ;Strength     ;       7 ;             ;         ;                 ;Your attacks using unarmed attacks and bladed melee weapons gain the Piercing 1 damage effect, or add +1 to the rating of any Piercing X damage effect they already had.
Quick Draw              ;Agility      ;       6 ;             ;         ;                 ;Each turn, you may draw a single weapon or item carried on your person without using a minor action.
Quick Hands             ;Agility      ;       8 ;             ;         ;                 ;You can reload firearms faster. When you make a ranged attack, you may spend 2 AP to increase the Fire Rate of your gun by +2 for that attack.
Rad Resistance          ;Endurance    ;       8 ;             ;         ;                 ;Your radiation Damage Resistance, to all hit locations, increases by +1 per rank in this perk.
Refractor               ;Perception   ;       6 ;Agility      ;       7 ;                 ;Your energy Damage Resistance to all hit locations increases by +1 per rank in this perk.
Scoundrel               ;Charisma     ;       7 ;             ;         ;                 ;When you make a CHA + Speech test to convince someone of a lie, you may ignore the first complication you roll.
Scrounger               ;Luck         ;       6 ;             ;         ;                 ;Whenever you roll to determine how much ammunition you find, you find more. At rank 1, you find +3 DC additional shots. At rank 2, you find +6 DC additional shots. At rank 3, you find +10 DC additional shots. The additional ammo you find is the same as initially found, for example, if you find 10mm ammunition, this perk increases how much 10mm ammo you find. If you find multiple types of ammunition, Scrounger applies to the ammunition with the lowest rarity (GM’s choice if there is a tie).
Shotgun Surgeon         ;Strength     ;       5 ;Agility      ;       7 ;                 ;Your ranged attacks using shotguns gain the Piercing 1 damage effect, or add +1 to any Piercing X damage effect the weapon already had.
Size Matters            ;Endurance    ;       7 ;Agility      ;       6 ;                 ;When you make a ranged attack with any heavy weapon, you add +1 DC to the weapon’s damage, per rank.
Slayer                  ;Strength     ;       8 ;             ;         ;                 ;When you inflict any damage with an unarmed attack or melee weapon, you may spend 1 Luck point to immediately inflict a critical hit—and therefore an injury—on the location hit.
Smooth Talker           ;Charisma     ;       6 ;             ;         ;                 ;When you make a Barter or Speech test as part of an opposed test, you may re-roll 1d20.
Snakeater               ;Endurance    ;       7 ;             ;         ;                 ;Your poison Damage Resistance increases by +2.
Sniper                  ;Perception   ;       8 ;Agility      ;       6 ;                 ;When you take the Aim minor action, and then make a ranged attack with a two-handed weapon with the Accurate quality, you can specify a hit location to target without increasing the difficulty of the attack.
Solar Powered           ;Endurance    ;       7 ;             ;         ;                 ;For every hour you spend in direct sunlight, you heal 1 radiation damage.
Steady Aim              ;Strength     ;       8 ;Agility      ;       7 ;                 ;When you take the Aim minor action, you may either re-roll 2d20 on the first attack you make this turn, or re-roll 1d20 on all attacks you make this turn.
Strong Back             ;Strength     ;       5 ;             ;         ;                 ;Your maximum carry weight is increased by +25 lbs., per rank.
Toughness               ;Endurance    ;       6 ;Luck         ;       6 ;                 ;Your physical Damage Resistance to all hit locations increases by +1 per rank in this perk.
